,Unnamed: 0,n,composition,MagpieData minimum Number,MagpieData mode Number,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData minimum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData maximum Row,MagpieData range Row,MagpieData avg_dev Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData maximum Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData range NsUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData maximum GSbandgap,MagpieData mean GSbandgap,MagpieData mode GSbandgap,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,3-norm,frac s valence electrons,frac p valence electrons,density,vpa,packing fraction,label,distance
10,10,1.9084626448182505,Cl3 Ge1 Cs1,17.0,17.0,94.0,89.0,73.2,27.28,94.0,97.4524519,62.38089038,32.313468455999995,171.6,1039.8000000000002,405.558,322.33680000000004,171.6,17.0,16.0,13.2,4.880000000000001,17.0,6.0,3.0,0.96,102.0,244.0,142.0,134.0,44.0,102.0,3.16,2.4560000000000004,0.8448,3.16,1.8,0.3199999999999999,5.0,5.0,3.4,1.9200000000000004,10.0,10.0,2.0,3.2,0.0,0.0,1.0,14.0,13.0,7.2,2.72,7.0,1.0,4.0,4.0,1.4,1.0399999999999998,1.0,0.0,0.0,1.0,3.0,1.6,0.9600000000000002,1.0,23.005,42.4525,29.325,24.4975,2.493,1.5723999999999998,2.493,64.0,229.0,165.0,129.2,78.24,64.0,3,0.6144633651371695,0.25,0.4722222222222222,3.0822352604727605,33.60739746692595,0.5616012261305288,115,3.4636652251319466
11,11,1.8904877677467269,O4 Rb2 Au2,8.0,8.0,87.0,83.0,61.0,28.5,87.0,180.967169,78.60829225,62.60889225,54.8,1282.53,439.8475,448.7412499999999,54.8,16.0,15.0,11.0,5.0,16.0,6.0,4.0,1.75,66.0,220.0,154.0,122.0,56.0,66.0,3.44,2.56,0.88,3.44,1.5,0.5,4.0,4.0,2.0,2.0,10.0,10.0,2.5,3.75,14.0,3.5,1.0,25.0,24.0,9.5,7.75,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.5,0.5,2.0,9.105,31.408125,29.6571875,9.105,0.0,0.0,0.0,12.0,229.0,217.0,119.5,107.5,12.0,3,0.538608672507971,0.1578947368421052,0.2105263157894736,5.647349184704429,23.11387802854036,0.7190176791777123,102,3.317801624584622
12,12,2.01079254689952,O4 Cu2 Rb2,8.0,8.0,87.0,83.0,60.5,28.25,87.0,69.4684,45.25315,29.25375,54.8,1302.97,444.9575,456.40625,54.8,16.0,15.0,11.0,5.0,16.0,5.0,3.0,1.25,66.0,220.0,154.0,121.0,55.0,66.0,3.44,2.4,1.04,3.44,1.5,0.5,4.0,4.0,2.0,2.0,10.0,10.0,2.5,3.75,0.0,0.0,1.0,11.0,10.0,6.0,2.5,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.5,0.5,2.0,9.105,30.000625,30.3609375,9.105,0.0,0.0,0.0,12.0,229.0,217.0,119.5,107.5,12.0,3,0.538608672507971,0.25,0.3333333333333333,3.708569969539118,20.26242570018124,0.8202022394944132,74,2.9513734684625965
13,13,2.275843946026764,Na12 Mn2 Te8,11.0,11.0,90.0,88.0,38.54545454545455,39.867768595041326,2.0,104.61023072,63.93424188,46.30236954181817,370.87,1148.13,603.169090909091,253.41719008264465,370.87,16.0,15.0,7.0,6.545454545454546,1.0,5.0,2.0,0.8925619834710744,138.0,166.0,28.0,153.36363636363637,13.785123966942148,166.0,2.1,1.411818181818182,0.5256198347107438,0.93,1.4545454545454546,0.4958677685950414,4.0,4.0,1.4545454545454546,1.851239669421488,10.0,10.0,4.090909090909091,4.462809917355372,0.0,0.0,1.0,16.0,15.0,7.0,6.545454545454546,1.0,1.0,2.0,2.0,0.7272727272727273,0.9256198347107438,0.0,5.0,0.4545454545454545,1.0,4.0,1.7272727272727273,0.793388429752066,1.0,10.4875862069,29.54553813999091,3.7947601405884286,29.2433333333,0.464,0.1687272727272727,0.0,152.0,229.0,77.0,199.9090909090909,34.84297520661157,229.0,3,0.5954465109199432,0.2077922077922078,0.2077922077922078,3.411631692380612,31.118630587322404,0.5960894124559976,357,4.100613117363223
14,14,1.451558357995522,F6 Y1 Cs3,9.0,9.0,93.0,88.0,58.5,41.4,93.0,113.9070487,60.16126249,49.39543114800001,53.5,1745.5,302.477,299.30460000000005,53.5,17.0,16.0,10.8,7.44,17.0,6.0,4.0,1.8,57.0,244.0,187.0,126.4,83.28,57.0,3.98,2.747,1.4796,3.98,1.7,0.42,5.0,5.0,3.0,2.4,1.0,1.0,0.1,0.18,0.0,0.0,1.0,7.0,6.0,4.8,2.64,7.0,1.0,1.0,1.0,0.6,0.4800000000000001,1.0,9.0,0.9,1.0,8.0,1.8,1.44,1.0,9.7075,43.7905,43.1847,9.7075,1.97,1.182,1.97,15.0,229.0,214.0,97.1,98.52,15.0,3,0.6248799769526243,0.3541666666666667,0.625,3.698789566602333,27.0088700267394,0.9198353977782942,354,4.387140265194725
15,15,2.0692683892300336,N16 Si12,7.0,7.0,82.0,4.0,80.28571428571429,1.9591836734693868,82.0,14.0788,20.04047142857143,6.895738775510204,63.05,1623.95,759.0285714285714,795.4040816326532,63.05,15.0,1.0,14.571428571428571,0.489795918367347,15.0,3.0,1.0,0.4897959183673469,71.0,111.0,40.0,88.14285714285714,19.59183673469388,71.0,3.04,2.551428571428571,0.5583673469387757,3.04,2.0,0.0,3.0,1.0,2.571428571428572,0.4897959183673469,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.571428571428571,0.489795918367347,5.0,0.0,4.0,1.0,3.4285714285714284,0.4897959183673469,3.0,0.0,0.0,3.0,1.0,3.4285714285714284,0.4897959183673469,3.0,14.76875,17.199285714285715,2.7777551020408167,14.76875,6.437,4.009571428571428,6.437,194.0,227.0,33.0,208.1428571428572,16.163265306122447,194.0,2,0.6425630636107735,0.4375,0.5625000000000001,3.117167696101966,10.675712366016835,0.2853904611630308,131,3.37977689926165
16,16,2.3237190736690407,C1 N2 Mn1,6.0,7.0,82.0,30.0,73.25,10.625,82.0,42.927345,23.74053625,15.598754375000002,63.05,3759.95,1367.025,1303.975,63.05,15.0,8.0,12.75,2.875,15.0,4.0,2.0,0.75,71.0,139.0,68.0,89.25,24.875,71.0,3.04,2.545,0.4975,3.04,2.0,0.0,3.0,3.0,2.0,1.0,5.0,5.0,1.25,1.875,0.0,0.0,4.0,7.0,3.0,5.25,0.875,5.0,0.0,4.0,4.0,2.5,1.25,3.0,5.0,1.25,3.0,2.0,3.75,0.75,3.0,5.64,11.416271551725,3.3524784482750003,14.76875,6.437,4.3425,6.437,194.0,217.0,23.0,199.75,8.625,194.0,3,0.538608672507971,0.3809523809523809,0.3809523809523809,3.352162471424249,11.760196064843187,0.3237932492403052,317,2.655557572448363
17,17,4.248906133739992,Na4 Sb2 Au2,11.0,11.0,85.0,83.0,38.75,36.75,2.0,173.97679972,91.17652689,68.18675761,370.87,966.46,745.7125,374.8425,370.87,15.0,14.0,7.0,6.0,1.0,6.0,3.0,1.25,136.0,166.0,30.0,151.75,14.25,166.0,2.54,1.6125,0.6824999999999999,0.93,1.25,0.375,3.0,3.0,0.75,1.125,10.0,10.0,5.0,5.0,14.0,3.5,1.0,25.0,24.0,10.5,9.5,1.0,1.0,3.0,3.0,0.75,1.125,0.0,0.0,0.0,1.0,2.0,1.5,0.75,1.0,16.7,26.68666666665,4.993333333324999,29.2433333333,0.0,0.0,0.0,166.0,229.0,63.0,212.25,23.125,229.0,3,0.538608672507971,0.119047619047619,0.0714285714285714,5.727520113259216,26.43416031089164,0.6803137809257153,5,3.5902227018331456
18,18,3.5748193427546107,Na4 As2 Au2,11.0,11.0,84.0,82.0,38.5,36.5,2.0,173.97679972,79.46692689,58.749821055,370.87,966.46,792.2674999999999,421.3975,370.87,15.0,14.0,7.0,6.0,1.0,6.0,3.0,1.0,119.0,166.0,47.0,146.75,19.25,166.0,2.54,1.645,0.7150000000000001,0.93,1.25,0.375,3.0,3.0,0.75,1.125,10.0,10.0,5.0,5.0,14.0,3.5,1.0,25.0,24.0,10.5,9.5,1.0,1.0,3.0,3.0,0.75,1.125,0.0,0.0,0.0,1.0,2.0,1.5,0.75,1.0,16.7,24.34041666665,4.90291666665,29.2433333333,0.0,0.0,0.0,166.0,229.0,63.0,212.25,23.125,229.0,3,0.538608672507971,0.119047619047619,0.0714285714285714,5.670565971279816,23.270681845838546,0.7040475907150282,5,3.4734771188297353
19,19,2.5537053471377607,P2 K4 Cu2,15.0,19.0,83.0,80.0,38.25,35.25,3.0,32.572238,43.1790905,10.18345475,317.3,1040.47,587.0325,385.36875,336.53,15.0,14.0,7.0,6.0,1.0,4.0,1.0,0.375,107.0,203.0,96.0,161.25,41.75,203.0,2.19,1.4325,0.6125,0.82,1.25,0.375,3.0,3.0,0.75,1.125,10.0,10.0,2.5,3.75,0.0,0.0,1.0,11.0,10.0,4.5,3.5,1.0,1.0,3.0,3.0,0.75,1.125,0.0,0.0,0.0,1.0,2.0,1.5,0.75,1.0,11.07,44.96339285715,28.14327380955,73.1066666667,1.625,0.40625,0.0,2.0,229.0,227.0,171.25,84.625,229.0,3,0.538608672507971,0.2777777777777778,0.1666666666666666,2.692751645049265,26.62724828980474,0.9736197670275596,57,3.4852175602551667
20,20,1.3754999091239513,Si12 O24,8.0,8.0,87.0,9.0,84.0,4.0,87.0,12.0861,20.0281,5.371600000000001,54.8,1632.2,598.8666666666667,725.4222222222222,54.8,16.0,2.0,15.333333333333334,0.8888888888888887,16.0,3.0,1.0,0.4444444444444444,66.0,111.0,45.0,81.0,20.0,66.0,3.44,2.9266666666666667,0.6844444444444444,3.44,2.0,0.0,4.0,2.0,3.333333333333333,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.333333333333333,0.8888888888888888,6.0,0.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,0.0,0.0,2.0,2.0,2.6666666666666665,0.8888888888888888,2.0,9.105,12.883333333333336,5.037777777777778,9.105,0.773,0.2576666666666666,0.0,12.0,227.0,215.0,83.66666666666667,95.55555555555556,12.0,2,0.6933612743506347,0.375,0.6250000000000001,1.6389549121356175,20.29185930224024,0.1213103412727211,90,0.995330351855891
21,21,1.556806453395326,H6 Cl2 Ge2,1.0,1.0,94.0,15.0,89.8,4.320000000000002,92.0,71.63206,22.223364,25.4585088,14.01,1197.39,285.00600000000003,370.5576,14.01,17.0,16.0,6.8,6.959999999999999,1.0,4.0,3.0,1.2,31.0,120.0,89.0,63.0,38.4,31.0,3.16,2.354,0.3224,2.2,1.4,0.48,5.0,5.0,1.4,1.6799999999999995,10.0,10.0,2.0,3.2,0.0,0.0,1.0,14.0,13.0,4.8,4.56,1.0,1.0,4.0,4.0,1.0,1.2,0.0,0.0,0.0,1.0,3.0,1.6,0.9600000000000002,1.0,6.615,13.4695,8.225399999999999,6.615,7.853,5.286999999999999,7.853,64.0,225.0,161.0,174.2,44.080000000000005,194.0,3,0.6144633651371695,0.2916666666666667,0.2916666666666667,1.927690450614532,19.14351139806069,0.1312859522274706,384,3.2740165606499154
22,22,1.9014183302647008,Li2 O6 As2,3.0,8.0,87.0,86.0,69.2,27.28,87.0,67.9806,25.972159999999995,19.579776,54.8,1035.2,341.618,344.1816,54.8,16.0,15.0,12.8,4.72,16.0,4.0,2.0,0.6399999999999999,66.0,128.0,62.0,89.0,27.6,66.0,3.44,2.696,0.8927999999999999,3.44,1.8,0.3199999999999999,4.0,4.0,3.0,1.2,10.0,10.0,2.0,3.2,0.0,0.0,1.0,15.0,14.0,6.8,3.28,6.0,1.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,1.0,2.0,2.0,0.4,2.0,9.105,13.21666666666,4.933999999992,9.105,0.0,0.0,0.0,12.0,229.0,217.0,86.2,89.04,12.0,3,0.6144633651371695,0.2647058823529412,0.4411764705882353,4.300377661598406,10.02883693427886,0.4358434190663111,265,2.6666332345511417
23,23,2.207225030062263,O2 Cu1 Y1,8.0,8.0,87.0,75.0,62.5,25.25,87.0,72.90645,46.1126625,30.1132625,54.8,1744.2,816.5925,761.7925,54.8,16.0,13.0,11.5,4.5,16.0,5.0,3.0,1.25,66.0,190.0,124.0,113.5,47.5,66.0,3.44,2.5,0.94,3.44,1.75,0.375,4.0,4.0,2.0,2.0,10.0,10.0,2.75,3.625,0.0,0.0,3.0,11.0,8.0,6.5,2.25,6.0,1.0,2.0,2.0,1.0,1.0,2.0,9.0,2.25,1.0,8.0,3.5,2.75,2.0,9.105,15.41125,8.476875,9.105,0.0,0.0,0.0,12.0,225.0,213.0,110.75,98.75,12.0,3,0.538608672507971,0.2692307692307692,0.3076923076923077,4.8639998247276734,15.742574075951564,0.5803462693993126,67,0.5871012107085554
24,24,3.7103414038782647,Tl2 Cd1 Ge1 Te4,32.0,52.0,90.0,20.0,82.625,7.375,90.0,131.74329999999998,138.0272,33.17805,577.0,634.4000000000001,731.2825,120.02937500000004,722.66,16.0,4.0,14.5,1.5,16.0,6.0,2.0,0.4375,120.0,145.0,25.0,138.25,4.8125,138.0,2.1,1.9175,0.205625,2.1,2.0,0.0,4.0,4.0,2.5,1.5,10.0,0.0,10.0,0.0,14.0,3.5,12.0,27.0,15.0,18.0,4.5,16.0,0.0,5.0,5.0,2.75,1.4375,2.0,0.0,0.0,0.0,5.0,2.75,1.4375,2.0,19.495,29.42166666665,5.341666666649998,34.7633333333,0.464,0.279875,0.464,152.0,225.0,73.0,176.875,24.875,152.0,4,0.524792056726051,0.1111111111111111,0.1388888888888889,6.873239065795271,33.346658781887115,0.4768759148467831,1,4.364229251885096
25,25,2.162603215263184,Cd4 I8,48.0,53.0,96.0,26.0,87.33333333333333,11.555555555555555,96.0,14.493470000000002,122.07331333333332,6.441542222222225,386.85,207.37,455.97333333333336,92.16444444444444,386.85,17.0,5.0,15.333333333333334,2.222222222222222,17.0,5.0,0.0,0.0,139.0,144.0,5.0,140.66666666666666,2.222222222222219,139.0,2.66,2.3366666666666664,0.4311111111111113,2.66,2.0,0.0,5.0,5.0,3.333333333333333,2.222222222222222,10.0,0.0,10.0,0.0,0.0,0.0,12.0,17.0,5.0,15.333333333333334,2.222222222222222,17.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.4444444444444445,1.0,19.495,35.175000000000004,10.453333333333331,43.015,1.062,0.7080000000000001,1.062,64.0,194.0,130.0,107.33333333333331,57.77777777777777,64.0,2,0.6933612743506347,0.1304347826086956,0.217391304347826,5.055337090163332,40.09772289442986,0.3207714302489469,254,2.2954934624020917
